,start_station_name,end_station_name,start_lat,start_lng,end_lat,end_lng,trips
2146334,E 41 St & Madison Ave (SE corner),Hudson St & W 13 St,40.751987815,-73.979506731,40.74005708567285,-74.0052741765976,1
2287485,E 58 St & 1 Ave (NW Corner),E 58 St & 1 Ave (NW Corner),40.759503722,-73.960838318,40.759125,-73.962658,1
1192209,Broadway & W 38 St,Broadway & W 56 St,40.753085613,-73.987388372,40.7652654,-73.98192338,1
4539540,W 40 St & 7 Ave,5 Ave & E 87 St,40.755285501,-73.987918019,40.78232260730881,-73.95987510681152,1
2892303,Hamilton Pl & W 140 St,West End Ave & W 60 St,40.822831392,-73.951280117,40.77237,-73.99005,1
1483601,Christopher St & Greenwich St,Broadway & W 36 St,40.732934952,-74.006995678,40.75097711,-73.98765428,1
4541537,W 40 St & 7 Ave,Pier 40 - Hudson River Park,40.755182743,-73.988277078,40.7277140777778,-74.01129573583603,1
3547691,North Moore St & Greenwich St,Vesey St & Church St,40.720159411,-74.01041913,40.71221958009051,-74.01047229766846,1
2760832,Grand Concourse & E 144 St,Adam Clayton Powell Blvd & W 141 St,40.816524625,-73.928092122,40.819241,-73.941057,1
5107843,Wythe Ave & Metropolitan Ave,Montrose Ave & Bushwick Ave,40.716896176,-73.963220358,40.70767788,-73.94016171,1
2104242,E 39 St & 2 Ave,Graham Ave & Herbert St,40.74803319428767,-73.973827958107,40.71929301,-73.94500379,1
2263607,E 55 St & 2 Ave,1 Ave & E 94 St,40.757859707,-73.966190457,40.7817212,-73.94594,1
2031358,E 26 St & 3 Ave,E 10 St & 2 Ave,40.74072206,-73.981482267,40.72970805644994,-73.9865979552269,1
1116215,Broadway & Kosciuszko St,Knickerbocker Ave & George St,40.693397403,-73.928562403,40.704425,-73.92836,1
3692900,Prospect Pl & Underhill Ave,Lawrence St & Willoughby St,40.676980615,-73.965757728,40.69236178,-73.98631746,1
2000057,E 20 St & Park Ave,Congress St & Clinton St,40.738143444,-73.98737812,40.68825516598005,-73.99545192718506,1
675961,8 Ave & W 16 St,W 33 St & 10 Ave,40.740810037,-74.001804471,40.75377336836039,-73.99937599897385,1
1995234,E 20 St & FDR Dr,E 5 St & Cooper Sq,40.733358979,-73.975786567,40.72769,-73.990993,1
4930923,Washington St & Barrow St,Peck Slip & South St,40.731911,-74.008769,40.707519,-74.001081,1
1933596,E 17 St & Broadway,E 11 St & 3 Ave,40.736998796,-73.989876986,40.73127,-73.98849,1
27494,1 Ave & E 39 St,E 47 St & 1 Ave,40.747151971,-73.97093153,40.75206862,-73.96784384,1
4874545,Walnut Ave & E 136 St,E 138 St & Willow Ave,40.801657,-73.909513,40.804168,-73.911545,66
3039338,Kenmare St & Elizabeth St,Marcy Ave & Lafayette Ave,40.720460415,-73.99487257,40.6900815,-73.947915,1
4141407,Vesey Pl & River Terrace,E 12 St & 3 Ave,40.715464592,-74.016484737,40.73223272,-73.98889957,1
2653305,Front St & Gold St,Monroe St & Bedford Ave,40.70217669,-73.982452273,40.6851443,-73.95380904,1
2579756,Flushing Ave & Woodward Ave,7 Ave S & Bleecker St,40.71246,-73.91873,40.73213896287381,-74.00363802909851,1
2301255,E 59 St & Madison Ave,Adam Clayton Powell Blvd & W 115 St,40.763515234,-73.970677972,40.802535,-73.9532423,1
3741924,Riverside Dr & W 104 St,W 70 St & Amsterdam Ave,40.801298261,-73.971212864,40.77748046,-73.98288594,1
3103374,Lafayette St & E 8 St,1 Ave & E 16 St,40.730626106,-73.99088788,40.73221853,-73.98165557,1
1113707,Broadway & Hancock St,Leonard St & Church St,40.68663,-73.9168,40.717571,-74.005549,1
2729363,Graham Ave & Grand St,Graham Ave & Grand St,40.711920023,-73.94400835,40.711863,-73.944024,1
3952037,St Nicholas Ave & W 150 St,5 Ave & E 29 St,40.827111125,-73.942789435,40.7451677,-73.98683077,1
1428844,Central Park W & W 91 St,E 97 St & Madison Ave,40.788623214,-73.966691732,40.787801,-73.953559,1
1920335,E 165 St & Clay Ave,E 165 St & Clay Ave,40.82816112,-73.912859321,40.82809,-73.91288,1
4449702,W 31 St & 7 Ave,Broadway & W 51 St,40.748734713,-73.991486788,40.76228826,-73.98336183,1
3191918,Lexington Ave & E 111 St,W 40 St & 5 Ave,40.795365214,-73.944178939,40.752269,-73.982079,1
1841631,E 13 St & 2 Ave,W 31 St & 7 Ave,40.731373072,-73.985318899,40.749156,-73.9916,1
259996,28 Ave & 44 St,28 St & 41 Ave,40.76408932350688,-73.91065120697021,40.751047,-73.93797,38
1561876,Coffey St & Conover St,Laight St & Hudson St,40.677264094,-74.015659213,40.72185379,-74.00771779,1
4787316,W 76 St & Columbus Ave,7 Ave & Central Park South,40.780333757,-73.977481723,40.7667405590595,-73.9790689945221,1
4813140,W 87 St & Amsterdam Ave,Broadway & W 131 St,40.78839,-73.9747,40.817555,-73.957163,12
857367,Amsterdam Ave & W 66 St,10 Ave & W 14 St,40.774543524,-73.984919548,40.74198159994023,-74.00831580162048,1
1121156,Broadway & Morris St,Broadway & Morris St,40.706091642,-74.012797117,40.705945132708806,-74.01321887969969,1
